연번,관리기관명,시설명,설치위치,단속방향,설치목적,카메라대수,설치연도,관할경찰청,관할경찰서,위도,경도
1,인천광역시 미추홀구,도화초등학교,인천광역시 미추홀구 도화동 541-5 도화초등학교 정문,제물포역→도화IC,신호·과속단속,1,2020,인천지방경찰청,미추홀경찰서,37.46341272,126.6683645
2,인천광역시 미추홀구,도화초등학교,인천광역시 미추홀구 도화동 576 도화초등학교 정문 맞은편,도화IC→도화사거리,신호·과속단속,1,2020,인천지방경찰청,미추홀경찰서,37.46504106,126.6681857
3,인천광역시 미추홀구,대화초등학교,인천광역시 미추홀구 도화동 289 대화초등학교 정문,도화사거리→대화초등학교,신호·과속단속,1,2020,인천지방경찰청,미추홀경찰서,37.46794432,126.6696124
4,인천광역시 미추홀구,대화초등학교,인천광역시 미추홀구 도화동 289 대화초등학교 정문 맞은편,대화초등학교→도화사거리,신호·과속단속,1,2020,인천지방경찰청,미추홀경찰서,37.46794432,126.6696124
5,인천광역시 미추홀구,관교초등학교,인천광역시 남동구 구월동 1335-4 관교초등학교,승학사거리→인천터미널,신호·과속단속,1,2020,인천지방경찰청,미추홀경찰서,37.44417463,126.6982869
6,인천광역시 미추홀구,관교초등학교,인천광역시 남동구 구월동 1335-4 관교초등학교 건너편,인천터미널→승학사거리,신호·과속단속,1,2020,인천지방경찰청,미추홀경찰서,37.44417463,126.6982869
7,인천광역시 미추홀구,주안남초등학교,인천광역시 미추홀구 주안동 1484 주안남초등학교,신기사거리→승기사거리,신호·과속단속,1,2020,인천지방경찰청,미추홀경찰서,37.45122674,126.6825634
8,인천광역시 미추홀구,주안남초등학교,인천광역시 미추홀구 주안동 1484 주안남초등학교 건너편,승기사거리→신기사거리,신호·과속단속,1,2020,인천지방경찰청,미추홀경찰서,37.45122674,126.6825634
9,인천광역시 미추홀구,경원초등학교,인천광역시 미추홀구 주안동 957 경원초등학교,간석풍림오거리→석바위사거리,신호·과속단속,1,2020,인천지방경찰청,미추홀경찰서,37.45965795,126.6937682
10,인천광역시 미추홀구,경원초등학교,인천광역시 남동구 간석동 산 86-1 경원초등학교 건너편,석바위사거리→간석풍림오거리,신호·과속단속,1,2020,인천지방경찰청,미추홀경찰서,37.45965795,126.6937682
11,인천광역시 미추홀구,주안북초등학교,인천광역시 미추홀구 주안동 40-5 주안북초등학교,공단종합시장→도화사거리,신호·과속단속,1,2020,인천지방경찰청,미추홀경찰서,37.4670937,126.6778768
12,인천광역시 미추홀구,학익초등학교,인천광역시 미추홀구 학익동 407-6 학익초등학교 정문 앞,학익사거리→인하대역,신호·과속단속,1,2020,인천지방경찰청,미추홀경찰서,37.4449656,126.6591331
13,인천광역시 미추홀구,학익초등학교,인천광역시 미추홀구 학익동 732-3 학익초등학교 정문 맞은편,인하대역→학익사거리,신호·과속단속,1,2020,인천지방경찰청,미추홀경찰서,37.4449656,126.6591331
14,인천광역시 미추홀구,문학초등학교,인천광역시 미추홀구 문학동 343-2 문학초등학교 정문 앞,문학경기장→문학사거리,신호·과속단속,1,2020,인천지방경찰청,미추홀경찰서,37.43937408,126.6828828
15,인천광역시 미추홀구,문학초등학교,인천광역시 미추홀구 문학동 428 문학초등학교 정문 맞은편,문학사거리→문학경기장,신호·과속단속,1,2020,인천지방경찰청,미추홀경찰서,37.43937408,126.6828828
16,인천광역시 미추홀구,용정초등학교,인천광역시 미추홀구 숭의동 13-7 용정초등학교 파크뷰 앞,수봉공원→제물포역,신호·과속단속,1,2020,인천지방경찰청,미추홀경찰서,37.46007934,126.6589882
17,인천광역시 미추홀구,용정초등학교,인천광역시 미추홀구 숭의동 13-7 용정초등학교 미래아트빌 앞,제물포역→수봉공원,신호·과속단속,1,2020,인천지방경찰청,미추홀경찰서,37.46007934,126.6589882
18,인천광역시 미추홀구,숭의초등학교,인천광역시 미추홀구 숭의동 34-7 숭의초등학교 정문 앞,제물포시장→장천사거리,신호·과속단속,1,2020,인천지방경찰청,미추홀경찰서,37.46253642,126.654873
19,인천광역시 미추홀구,숭의초등학교,인천광역시 미추홀구 숭의동 34-7 숭의초등학교 정문 맞은편,장천사거리→제물포시장,신호·과속단속,1,2020,인천지방경찰청,미추홀경찰서,37.46253642,126.654873
20,인천광역시 미추홀구,용일초등학교,인천광역시 미추홀구 용현동 103-21 용일초등학교 정문 건너편,용일사거리→용현지하차도,신호·과속단속,1,2020,인천지방경찰청,미추홀경찰서,37.45366932,126.6637152
21,인천광역시 미추홀구,용일초등학교,인천광역시 미추홀구 용현동 103-22 용일초등학교 정문 앞,용현지하차도→용일사거리,신호·과속단속,1,2020,인천지방경찰청,미추홀경찰서,37.45366932,126.6637152
22,인천광역시 미추홀구,용현남초등학교,인천광역시 미추홀구 용현동 627-124 옹진군청 정문 건너편,윤성아파트→옹진군청,신호·과속단속,1,2020,인천지방경찰청,미추홀경찰서,37.44582432,126.6391506
23,인천광역시 미추홀구,용현남초등학교,인천광역시 미추홀구 용현동 627-124 옹진군청 정문 앞,옹진군청→윤성아파트,신호·과속단속,1,2020,인천지방경찰청,미추홀경찰서,37.44582432,126.6391506
24,인천광역시 미추홀구,석암초등학교,인천광역시 미추홀구 주안동 56-1 GGE영어교습소 앞,주안웰가오피스텔→두산아파트,신호·과속단속,1,2020,인천지방경찰청,미추홀경찰서,37.46209468,126.6862294
25,인천광역시 미추홀구,석암초등학교,인천광역시 미추홀구 주안동 55-1 석암초등학교 정문 앞,두산아파트→주안웰가오피스텔,신호·과속단속,1,2020,인천지방경찰청,미추홀경찰서,37.4619607,126.686842
26,인천광역시 미추홀구,학산초등학교,인천광역시 미추홀구 학익동 706-1 학산초등학교 정문 앞,원흥아파트→정광아파트,신호·과속단속,1,2020,인천지방경찰청,미추홀경찰서,37.43904356,126.6578987
27,인천광역시 미추홀구,학산초등학교,인천광역시 미추홀구 학익동 703-1 학산초등학교 정문 건너편,정광아파트→원흥아파트,신호·과속단속,1,2020,인천지방경찰청,미추홀경찰서,37.43904356,126.6578987
28,인천광역시 미추홀구,백학초등학교,인천광역시 미추홀구 학익동 717 미추홀소방서 앞,영남들국화아파트→학익소방사거리,신호·과속단속,1,2020,인천지방경찰청,미추홀경찰서,37.43945868,126.6730274
29,인천광역시 미추홀구,백학초등학교,인천광역시 미추홀구 학익동 716 인천향교유림회관 앞,학익소방사거리→대동아파트,과속단속,1,2020,인천지방경찰청,미추홀경찰서,37.4397256,126.6708683
30,인천광역시 미추홀구,용현초등학교,인천광역시 미추홀구 용현동 576-10 용현초교 조선일보 옆,인하대병원사거리→자연숲놀이정원,신호·과속단속,1,2021,인천지방경찰청,미추홀경찰서,37.45352207,126.6431792
31,인천광역시 미추홀구,용현초등학교,인천광역시 미추홀구 용현동 610-109 용현초교 앞,용현2동행정복지센터→용정근린공원,신호·과속단속,1,2021,인천지방경찰청,미추홀경찰서,37.45308442,126.6421865
32,인천광역시 미추홀구,연학초등학교,인천광역시 미추홀구 주안동 866-164 연학초등학교 건너편 ,학익여자고등학교→인천지방검찰청,신호·과속단속,1,2021,인천지방경찰청,미추홀경찰서,37.44386988,126.6726785
33,인천광역시 미추홀구,소라유치원,인천광역시 미추홀구 주안동 1541 소라유치원 건너편,인천고등학교→석바위시장역,신호·과속단속,1,2021,인천지방경찰청,미추홀경찰서,37.45424113,126.6897476
34,인천광역시 미추홀구,소라유치원,인천광역시 미추홀구 주안동 1541 소라유치원 앞,석바위시장역→인천고등학교,신호·과속단속,1,2021,인천지방경찰청,미추홀경찰서,37.45424113,126.6897476
35,인천광역시 미추홀구,숭의유치원,인천광역시 미추홀구 숭의동 162-14 숭의유치원 건너편,숭의오거리→숭의로터리,신호·과속단속,1,2021,인천지방경찰청,미추홀경찰서,37.46290925,126.6445639
36,인천광역시 미추홀구,숭의유치원,인천광역시 미추홀구 숭의동 162-14 숭의유치원 앞,숭의로터리→숭의오거리,신호·과속단속,1,2021,인천지방경찰청,미추홀경찰서,37.46290925,126.6445639
37,인천광역시 미추홀구,솔샘유치원,인천광역시 남동구 간석동 936 솔샘유치원 건너편,간석풍림오거리→간석역입구사거리,신호·과속단속,1,2022,인천지방경찰청,미추홀경찰서,37.462186,126.696364
38,인천광역시 미추홀구,솔샘유치원,인천광역시 남동구 간석동 936 솔샘유치원 앞,간석역입구사거리→간석풍림오거리,신호·과속단속,1,2022,인천지방경찰청,미추홀경찰서,37.462186,126.696364
39,인천광역시 미추홀구,진흥유치원,인천광역시 미추홀구 주안동 1216-2 진흥유치원 앞,새빛감리교회→학익여고,신호·과속단속,1,2022,인천지방경찰청,미추홀경찰서,37.445214,126.682597
40,인천광역시 미추홀구,용화어린이집,인천광역시 미추홀구 주안동 39-2 용화어린이집 앞,용화선원→주안역,신호·과속단속,1,2022,인천지방경찰청,미추홀경찰서,37.468035,126.68198
41,인천광역시 미추홀구,용화어린이집,인천광역시 미추홀구 주안동 39-2 용화어린이집 앞,주안역→용화선원,신호·과속단속,1,2022,인천지방경찰청,미추홀경찰서,37.468035,126.68198
